Year,Longitude,Latitude
2001,-87.57254747,41.722505315
2001,-87.55515514,41.741928315
2001,-87.628341654,41.764569155
2001,-87.5838361,41.772372122
2001,-87.707005828,41.909568263
2001,-87.766896097,41.902892482
2001,-87.695919424,41.782269493
2001,-87.749290524,41.895924477
2001,-87.701856948,41.938455979
2001,-87.61569264,41.782932485
2001,-87.582222212,41.737871237
2001,-87.645604327,41.764393867
2001,-87.628305374,41.812390862
2001,-87.661047161,41.994546321
2001,-87.534076576,41.719047041
2001,-87.553488512,41.733703312
2001,-87.663763403,41.964222343
2001,-87.68117242,41.850280454
2001,-87.644213747,41.757327195
2001,-87.626981006,41.846447308
2001,-87.626981006,41.846447308
2001,-87.712386274,41.845634525
2001,-87.768716084,41.88018458
2001,-87.649971265,41.963880376
2001,-87.655530431,41.856602949
2001,-87.694031842,41.802130398
2001,-91.686565684,36.619446395
2001,-87.724123696,41.939130617
2001,-87.55881985,41.743714919
2001,-87.67171376,41.788274362
2001,-87.626599554,41.829748868
2002,-87.632782985,41.786580849
2002,-87.727494115,41.901450966
2002,-87.730157213,41.846003652
2002,-87.639211587,41.89652481
2002,-87.641646526,41.670028597
2002,-87.691367018,41.920519191
2002,-87.740296627,41.887050149
2002,-87.740296627,41.887050149
2002,-87.664386014,41.786291714
2002,-87.664386014,41.786291714
2002,-87.729195703,41.836242728
2002,-87.732874558,41.837606711
2002,-87.610059993,41.721962682
2002,-87.589815515,41.773300126
2002,-87.651444958,41.802662129
2002,-87.650086362,41.779673403
2002,-87.609013972,41.778540873
2002,-87.626074017,41.671580428
2002,-87.606200236,41.698789971
2002,-87.652986514,41.768219463
2002,-87.613193035,41.779568811
2002,-87.64250581,41.903726336
2002,-87.645660939,41.680758359
2002,-87.721446964,41.863822715
2002,-87.731793349,41.883290212
2002,-87.618847945,41.84512641
2002,-87.634278086,41.750538141
2002,-87.724831644,41.894414378
2002,-87.678876953,42.012563414
2002,-87.601743597,41.775004068
2002,-87.627069839,41.852051628
2002,-87.648600296,41.78633318
2002,-87.623190292,41.676195092
2002,-87.647905229,41.953552585
2002,-87.61384312,41.80996032
2002,-87.704349812,41.969396938
2002,-87.720098641,41.865464821
2002,-87.66546863,41.7685342
2002,-87.745916343,41.814751217
2002,-87.728867167,41.906595415
2002,-87.6615629,41.990279378
2002,-87.646264897,41.790081654
2002,-87.705228658,41.850977105
2002,-87.701955135,41.780335164
2002,-87.713946349,41.918231032
2002,-87.694974483,41.877449278
2002,-87.725791327,41.885001213
2002,-87.66495155,41.807738845
2002,-87.748722719,41.880452272
2002,-87.620451858,41.826601623
2002,-87.752279309,41.954356038
2002,-87.625958859,41.804618366
2002,-87.634366196,41.886816493
2002,-87.569813696,41.776099836
2002,-87.665404791,41.808597696
2002,-87.710233636,41.837134851
2002,-87.622590327,41.758273974
2002,-87.738316268,41.891894474
2002,-87.621718782,41.766498729
2002,-87.658096219,41.98625526
2002,-87.621051552,41.802946964
2002,-87.585596055,41.734454625
2002,-87.72135136,41.870767914
2002,-87.72135136,41.870767914
2002,-87.627964177,41.839804007
2002,-87.672504431,41.907876542
2002,-87.712622632,41.894439594
2002,-87.648631009,41.787582014
2002,-87.648631009,41.787582014
2002,-87.672530163,41.773045493
2002,-87.648429775,41.800629888
2002,-87.73718486,41.883225022
2002,-87.665117946,41.768062885
2002,-87.700042375,41.91902511
2002,-87.683870028,41.787844269
2002,-87.716076256,41.88707894
2002,-87.643107045,41.900768924
2002,-87.602624951,41.746765368
2002,-87.602627962,41.746823018
2002,-87.65174766,41.680860482
2002,-87.717674131,41.899664378
2002,-87.585638764,41.736458248
2002,-87.578240589,41.746220757
2002,-87.655982796,41.790035081
2002,-87.604546637,41.72491915
2002,-87.772904103,41.900984527
2002,-87.773378066,41.926612508
2002,-87.745038826,41.928553677
2002,-87.64250581,41.903726336
2002,-87.65645628,41.958419404
2002,-87.75704141,41.885615086
2002,-87.679282732,41.856710483
2002,-87.679282732,41.856710483
2002,-91.686565684,36.619446395
2002,-87.60855003,41.758526554
2002,-87.670969329,41.805731957
2002,-87.723129348,41.925456357
2002,-87.634692177,41.766421928
2002,-87.616855105,41.765129284
2002,-87.625110793,41.787370815
2002,-87.720259887,41.870490411
2002,-87.645793868,41.771703065
2002,-87.687034749,41.846562186
2002,-87.687034749,41.846562186
2002,-87.687034749,41.846562186
2002,-87.664309668,41.856012269
2002,-87.69611394,41.837397675
2002,-87.615517372,41.775963639
2002,-87.64250581,41.903726336
2002,-87.734486258,41.850911095
2002,-87.770890283,41.900244713
2002,-87.550585227,41.754350905
2002,-87.713899319,41.855807441
2002,-87.671078948,41.80968984
2002,-87.681812488,41.854842301
2002,-87.707552924,41.847120382
2002,-87.683260474,41.854669385
2002,-87.678827358,41.931197525
2002,-87.662533116,41.865137529
2002,-87.666422021,41.771336177
2002,-87.704117117,41.871884998
2002,-87.70222863,41.7438292
2002,-87.569812396,41.767554109
2002,-87.665008731,41.764104971
2002,-87.712155694,41.891835528
2002,-87.754190562,41.881665492
2002,-87.649291766,41.766122835
2002,-87.606042738,41.729333252
2002,-87.678332585,41.968768467
2002,-87.626779626,41.690729261
2002,-87.697741939,41.824549788
2002,-87.644173224,41.755633717
2002,-87.554965902,41.706006743
2002,-87.716516384,41.777831884
2002,-87.716516384,41.777831884
2002,-91.686565684,36.619446395
2002,-91.686565684,36.619446395
2002,-87.736307568,41.879633732
2002,-87.595424583,41.748656829
2002,-87.588739105,41.733226375
2002,-87.715542311,41.891801656
2002,-87.721673137,41.917484857
2002,-87.738989821,41.911148801
2002,-87.767401081,41.909352166
2002,-87.657313946,41.748132016
2002,-87.633172034,41.801372167
2002,-87.746789232,41.902344229
2002,-91.686565684,36.619446395
2002,-87.648597497,41.833438683
2002,-87.661175003,41.967706078
2002,-87.552787678,41.746196111
2002,-87.609221202,41.818114699
2002,-87.761636626,41.883028274
2002,-87.627527216,41.724483554
2002,-87.64177196,41.75740583
2002,-87.757027516,41.904728671
2002,-87.64250581,41.903726336
2002,-87.769136372,41.897524798
2002,-87.559351383,41.682333624
2002,-87.711403102,41.894452205
2002,-87.661199219,41.67175828
2002,-87.730409082,41.875848781
2002,-87.746637454,41.894044868
2002,-87.652747282,41.958010544
2002,-87.626925131,41.701188795
2002,-87.627026373,41.850330711
2002,-87.66876679,41.861954761
2002,-87.728701288,41.861473631
2002,-87.7620787,41.906364779
2002,-87.564572519,41.753567171
2002,-87.637741648,41.837662739
2002,-87.665047641,41.811551206
2002,-87.646920778,41.768125752
2002,-87.646320773,41.803391763
2002,-91.686565684,36.619446395
2002,-87.625958859,41.804618366
2002,-87.731362412,41.866992589
2002,-87.663684419,41.806139783
2002,-87.689552817,41.816501877
2002,-87.65440722,41.857987652
2002,-87.647095508,41.775119261
2002,-91.686565684,36.619446395
2002,-87.678112664,41.927417398
2002,-87.68938138,41.876059649
2002,-87.717816554,41.920019127
2002,-87.664822078,41.866023548
2002,-87.701884001,41.91074493
2002,-87.619869654,41.819556213
2002,-87.606033922,41.722969133
2002,-87.565788145,41.717965177
2002,-87.600691678,41.717611221
2002,-87.663426578,41.749880266
2002,-91.686565684,36.619446395
2002,-87.611407556,41.756025278
2002,-87.727585312,41.910844969
2002,-87.745103263,41.815010508
2002,-87.759870602,41.903110082
2002,-87.648596565,41.794264146
2002,-87.660239588,41.866092831
2002,-87.571826079,41.727138424
2002,-87.5887664,41.783814932
2002,-87.66794213,41.893330445
2002,-87.773419795,41.886102258
2002,-87.606042677,41.743952186
2002,-87.751739748,41.907737139
2002,-87.570063796,41.76613698
2002,-87.610566478,41.652858086
2002,-87.646410271,41.704608346
2002,-87.670542943,41.789804415
2002,-87.601889623,41.717270325
2002,-87.641527218,41.764495627
2002,-87.623980798,41.790420977
2002,-87.629486511,41.885384381
2002,-87.673378777,42.02117336
2002,-87.754676362,41.89131397
2002,-87.67881883,41.930953241
2002,-87.654078078,41.790531528
2002,-87.607217875,41.781756818
2002,-87.591872133,41.776164735
2002,-87.627021086,41.85014407
2002,-91.686565684,36.619446395
2002,-87.624509495,41.74973733
2002,-87.557037006,41.754526405
2002,-87.604757012,41.765294699
2002,-87.662687356,41.865132942
2002,-87.586112206,41.757562271
2002,-87.562281639,41.716531124
2002,-87.661366361,41.859461081
2002,-87.702092759,41.882837163
2002,-87.731830814,41.87968721
2002,-87.67882214,41.930988934
2002,-87.653205214,41.857796675
2002,-87.719412281,41.923743355
2002,-87.615305558,41.80940415
2002,-87.629511846,41.787288091
2002,-87.719301353,41.902732917
2002,-87.744570178,41.893183572
2002,-87.657771105,41.760451142
2002,-87.654849094,41.970251161
2002,-87.563362679,41.729373522
