Year,Latitude,Longitude
2002,36.619446395,-91.686565684
2002,41.927417398,-87.678112664
2002,41.876059649,-87.68938138
2002,41.920019127,-87.717816554
2002,41.866023548,-87.664822078
2002,41.91074493,-87.701884001
2002,41.819556213,-87.619869654
2002,41.722969133,-87.606033922
2002,41.717965177,-87.565788145
2002,41.717611221,-87.600691678
2002,41.749880266,-87.663426578
2002,36.619446395,-91.686565684
2002,41.756025278,-87.611407556
2002,41.910844969,-87.727585312
2002,41.815010508,-87.745103263
2002,41.903110082,-87.759870602
2002,41.794264146,-87.648596565
2002,41.866092831,-87.660239588
2002,41.727138424,-87.571826079
2002,41.783814932,-87.5887664
2002,41.893330445,-87.66794213
2002,41.886102258,-87.773419795
2002,41.743952186,-87.606042677
2002,41.907737139,-87.751739748
2002,41.76613698,-87.570063796
2002,41.652858086,-87.610566478
2002,41.704608346,-87.646410271
2002,41.789804415,-87.670542943
2002,41.717270325,-87.601889623
2002,41.764495627,-87.641527218
2002,41.790420977,-87.623980798
2002,41.885384381,-87.629486511
2002,42.02117336,-87.673378777
2002,41.89131397,-87.754676362
2002,41.930953241,-87.67881883
2002,41.790531528,-87.654078078
2002,41.781756818,-87.607217875
2002,41.776164735,-87.591872133
2002,41.85014407,-87.627021086
2002,36.619446395,-91.686565684
2002,41.74973733,-87.624509495
2002,41.754526405,-87.557037006
2002,41.765294699,-87.604757012
2002,41.865132942,-87.662687356
2002,41.757562271,-87.586112206
2002,41.716531124,-87.562281639
2002,41.859461081,-87.661366361
2002,41.882837163,-87.702092759
2002,41.87968721,-87.731830814
2002,41.930988934,-87.67882214
2002,41.857796675,-87.653205214
2002,41.923743355,-87.719412281
2002,41.80940415,-87.615305558
2002,41.787288091,-87.629511846
2002,41.902732917,-87.719301353
2002,41.893183572,-87.744570178
2002,41.760451142,-87.657771105
2002,41.970251161,-87.654849094
2002,41.729373522,-87.563362679
2002,41.903700111,-87.644078325
2002,41.903684856,-87.645195215
2002,41.907117422,-87.689594685
2002,42.018249871,-87.707508169
2002,42.018249871,-87.707508169
2002,41.735396556,-87.647276711
2002,41.755409918,-87.551349331
2002,41.738691386,-87.696178334
2002,36.619446395,-91.686565684
2002,41.963665201,-87.70954648
2002,41.90651779,-87.773083476
2002,41.823526544,-87.703288366
2002,41.7056806,-87.647658636
2002,41.767792044,-87.679574527
2002,41.887836285,-87.753444393
2002,41.733576092,-87.66056978
2002,41.774118663,-87.611882909
2002,41.880907126,-87.7120045
2002,41.917523824,-87.69307984
2002,41.902957389,-87.693071104
2002,41.751391355,-87.595184375
2002,41.919378841,-87.713571489
2002,41.880421254,-87.751260433
2002,41.924404435,-87.733376905
2002,41.830273049,-87.685719924
2002,41.830270595,-87.685771318
2002,41.914741204,-87.70200627
2002,41.927273891,-87.704469775
2002,41.745980029,-87.663327876
2002,36.619446395,-91.686565684
2002,41.882169295,-87.770520031
2002,41.768640814,-87.620195828
2002,36.619446395,-91.686565684
2002,41.766442574,-87.660215523
2002,41.766289453,-87.656573526
2002,41.879117707,-87.737872988
2002,41.777476106,-87.633366025
2002,41.879748311,-87.726751761
2002,41.988198299,-87.655327998
2002,41.880421254,-87.751260433
2002,41.913104698,-87.759891364
2002,41.850820147,-87.732310547
2002,41.891396946,-87.744546185
2002,41.742686921,-87.653527267
2002,41.878604157,-87.685096307
2002,41.774217931,-87.590002881
2002,41.786511773,-87.687007544
2002,41.904192368,-87.647000785
2002,41.844200384,-87.728537311
2002,41.866762539,-87.725200404
2002,41.891554507,-87.772178536
2002,41.862846644,-87.715971637
2002,41.895423402,-87.754389506
2002,41.784900274,-87.629017298
2002,41.877529212,-87.688162229
2002,41.772422184,-87.60701156
2002,41.74828207,-87.6342366
2002,41.74828207,-87.6342366
2002,41.787445004,-87.68752619
2002,41.875963185,-87.697680742
2002,41.706736745,-87.659183363
2002,41.759867892,-87.590831919
2002,42.019366852,-87.669901368
2002,41.867074531,-87.75478119
2002,41.853957519,-87.679681511
2002,41.859072947,-87.706283745
2002,41.797169487,-87.641583005
2002,41.84292557,-87.665840602
2002,41.942086695,-87.734663052
2002,41.77254818,-87.706709261
2002,41.918006481,-87.71352598
2002,42.014648623,-87.674973363
2002,41.774681227,-87.682166139
2002,41.849852628,-87.695392076
2002,41.808195048,-87.699440511
2002,41.691343571,-87.650776593
2002,41.761244993,-87.582305221
2002,41.701284863,-87.626927742
2002,41.92041668,-87.783735283
2002,41.677294835,-87.646550716
2002,41.865147839,-87.661949282
2002,41.777142114,-87.647147267
2002,41.897792526,-87.71151027
2002,41.883601727,-87.736799439
2002,41.733127244,-87.552715113
2002,41.733127244,-87.552715113
2002,41.759329924,-87.641828271
2002,41.798754356,-87.65377487
2002,41.766978356,-87.582806527
2002,41.885444902,-87.70222133
2002,41.760719,-87.67220948
2002,41.825077005,-87.603598988
2002,41.778730518,-87.684849239
2002,42.020809541,-87.670721771
2002,41.932864085,-87.681382901
2002,41.968502536,-87.702387649
2002,41.935522153,-87.717983581
2002,41.758995448,-87.565812535
2002,41.67560714,-87.626198314
2002,41.903720634,-87.723898394
2002,41.878469137,-87.732951182
2002,41.858989606,-87.713681395
2002,41.909358447,-87.690883705
2002,41.823125769,-87.602725951
2002,41.823125769,-87.602725951
2002,41.75788828,-87.582238072
2002,41.78130315,-87.663539586
2002,41.78616651,-87.65102944
2002,41.667449568,-87.539015561
2002,41.78960286,-87.65111401
2002,41.773017577,-87.61265777
2002,41.721175221,-87.61533625
2002,41.724492467,-87.634824238
2002,41.886766818,-87.745503149
2002,41.784382992,-87.665553508
2002,41.874606771,-87.688683639
